country,2005,2006,2007,2008,2009,2010,2011,2012
New Caledonia,1.6647,1.65354,1.70655,1.65726,1.70562,1.85535,2.3157,2.7156
New Zealand,38.75884,39.35628,39.5277,39.48804,39.43072,40.761,40.502,40.301
Niue,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279
Pakistan,67.265,72.574,72.23,68.559,72.259,74.621,73.933,76.862
Papua New Guinea,3.09039,3.01599,3.09411,3.03273,3.09783,3.15177,3.08481,3.1155
Philippines,47.371,47.62002,49.472,50.63011,51.81669,56.842,58.334,61.31
Samoa,0.09765,0.1023,0.10528,0.10714,0.109,0.10807,0.10714,0.0904
Singapore,34.915,36.087,37.451,38.272,39.083,42.556,43.293,44.005
Solomon Islands,0.0651,0.06603,0.0744,0.0744,0.07347,0.07626,0.07905,0.07905
Sri Lanka,7.434,6.863,7.9449,8.123,8.153,8.922,9.75,10.168
Taiwan,201.2619,208.36061,215.75277,212.77591,203.7168,220.08029,224.83952,224.33601
Thailand,116.1198,122.5519,126.682,129.305,129.568,141.149,139.683,155.866
Timor-Leste (East Timor),0,0,0,0,0,0,0,0
Tonga,0.04185,0.04278,0.04464,0.0465,0.04743,0.04557,0.04464,0.04464
U.S. Pacific Islands,0.35619,0.37572,0.38316,0.38316,0.38595,0.38874,0.39804,0.3999
Vanuatu,0.03813,0.03906,0.04185,0.04836,0.04836,0.04929,0.05115,0.04929
Vietnam,45.482,52.052,58.81636,66.1147,75.432,85.631,92.251,108.274
Wake Island,0,0,0,0,0,0,0,0
World,15719.68741,16400.82389,17181.20491,17453.36052,17388.14471,18679.86644,19396.64421,19710.36247
